Date,AAPL,MSFT,UNH,JNJ,V,WMT,JPM,PG,CVX,HD,MRK,KO,CSCO,MCD,NKE,DIS,VZ,AMGN,HON,IBM,CRM,GS,CAT,INTC,AXP,BA,MMM,TRV,DD,WBA
1/1/2014,20.03642857,37.41,75.3,91.59,55.67,26.23,58.48,81.41,124.91,82.34,50.05,41.31,22.43,97.03,39.32,76.4,49.14,114.08,91.37,187.57,55.19,177.26,90.81,25.955,90.73,136.49,140.25,90.54,133.2000013,57.44
1/2/2014,19.75464286,37.16,74.57,91.03,55.2525,26.30333333,58.21,80.54,124.14,82.02,49.49,40.66,22,96.41,39.12,76.27,49,115.795,90.32,185.53,54.86,176.89,89.87,25.79,89.45,136.67,138.13,89.33,131.6100013,56.63
1/3/2014,19.32071429,36.91,75.1,91.85,55.29,26.21666667,58.66,80.45,124.35,81.89,49.73,40.46,21.98,96.54,39.015,76.11,48.42,114.47,90.52,186.64,55.12,178.15,89.82,25.78,89.74,137.62,138.45,89.16,131.0100013,56.82
1/6/2014,19.42607143,36.13,74.24,92.33,54.9575,26.07,59,80.64,124.02,81.1,49.74,40.27,22.01,95.85,38.715,75.82,48.69,113.48,90.43,186,54.23,179.37,88.64,25.46,89.7,138.41,137.63,88.92,130.7700013,57.14
1/7/2014,19.28705357,36.41,76.51,94.29,55.3775,26.15,58.32,81.42,125.07,81.5,50.11,40.39,22.31,96.38,38.745,76.34,49.3,116.43,90.8,189.71,54.95,178.29,88.93,25.585,89.36,140.51,137.65,88.4,129.3300013,57.51
1/8/2014,19.40928571,35.76,75.62,94.16,55.555,25.94333333,58.87,80.24,123.29,81.93,49.79,39.94,22.293,95.41,38.545,75.22,48.5,115.88,90.44,187.97,56.94,178.44,89.14,25.43,89.41,140.82,136.63,87.58,129.4800013,59.36
1/9/2014,19.16139286,35.53,76.08,94.73,55.4775,26.03,58.76,80.42,123.29,81.57,49.52,39.73,22.09,95.46,38.545,74.9,47.5,118.89,90.47,187.38,56.29,177.4,89.71,25.31,88.88,142.13,136.45,87.68,127.8000013,61.14
1/10/2014,19.03357143,36.04,74.7,94.74,55.2825,26.01333333,58.49,80.3,121.01,82.01,49.88,40.13,22.22,95.8,38.46,75.39,47.75,117.99,90.16,187.26,56.95,178.39,90.51,25.53,88.55,141.9,136.18,87.49,128.1300013,60.36
1/13/2014,19.13321429,34.98,73.94,94.5,54.725,25.83,57.7,80.01,119.25,80.97,53.12,39.53,22.19,94.83,37.59,73.27,47.03,116.4,88.87,184.16,56.21,175.88,89.89,25.5,86.99,140.7,134.68,86.34,125.6700013,60.2
1/14/2014,19.51392857,35.78,74.02,94.72,55.6625,25.98666667,57.74,80.87,119.57,81.01,53,39.69,22.41,95.22,37.585,74.45,47.08,117.72,89.39,185.92,57.51,176.6,90.56,26.51,87.12,140.01,137.41,87.45,127.9500013,60
1/15/2014,19.90571429,36.76,74.84,94.8,55.94,25.88666667,59.49,80.79,119.18,81.07,52.52,39.76,22.78,95.46,37.715,74.28,48.27,118.51,89.91,187.74,59.72,178.75,92.41,26.67,88.25,140.62,138.44,87.88,129.1500013,59.49
1/16/2014,19.79464286,36.89,72.76,94.64,55.4425,25.58666667,58.99,80.56,118.83,81.26,52.5,39.71,22.78,96.06,37.395,74.21,48.53,119.03,90.05,188.76,59.21,175.17,92.01,26.54,87.78,140.21,138.16,87.24,129.2700013,59.89
1/17/2014,19.30964286,36.38,72.52,95.06,58.045,25.39666667,58.11,79.88,119.29,81,51.95,39.28,22.74,94.93,36.695,73.98,48.35,119.15,89.95,190.09,59.86,176.28,91.44,25.85,90.97,140.46,137.31,86.47,129.2100013,59.16
1/20/2014,19.30964286,36.38,72.52,95.06,58.045,25.39666667,58.11,79.88,119.29,81,51.95,39.28,22.74,94.93,36.695,73.98,48.35,119.15,89.95,190.09,59.86,176.28,91.44,25.85,90.97,140.46,137.31,86.47,129.2100013,59.16
1/21/2014,19.60964286,36.17,73.16,94.03,57.9825,25.28,58.17,80.18,120.36,80.46,51.83,39.92,22.83,95.08,36.875,74.2,47.7,119.25,90.59,188.43,60.95,173.2,90.6,25.59,90.59,141.67,136.99,85,137.7900014,58.73
